paper_id,title,filename,year,authors,venue,doi,url,sha256,bytes
01,Analysis of Liquidity Provision UniV2,Analysis_of_Liquidity_Provision_UniV2.pdf,,,,,,3484f28946875ddde65f55f737324a031a471dcd9440801dc6db68ddb8fdd03a,2472773
02,Automated Market Making and Arbitrage Profits in the Presence of Fees,Automated Market Making and Arbitrage Profits in the Presence of Fees.pdf,,,,,,52765e9238cb33fc5926db1da0fb5c3855f303b662137c1f44decd10ef1a5222,859419
03,Automated Market Making and Decentralized Finance,Automated Market Making and Decentralized Finance .pdf,,,,,,585548e39c370ddff057c2063cb4dc90fcc36a598e7ef45f75bbaabb6c260364,4324548
04,Automated Market Making and Loss-Versus-Rebalancing,Automated Market Making and Loss-Versus-Rebalancing .pdf,,,,,,90c57c7785b696964ecaff0d0720cea79294713218c13e3f2b2b3cbad5295636,1135220
05,Impermanent Loss in Uniswap v3,Impermanent Loss in Uniswap v3 .pdf,,,,,,15bd3c1222fe710626383c6547b0614335b49b17e96ebe5279de754290d0d172,4097335
06,Market Depth and Liquidity Provision Profitability Uniswap V3:V2,Market Depth and Liquidity Provision Profitability Uniswap V3:V2.pdf,,,,,,bed6cdaf562e08a42c87673f821049b494d7e1cefe4868e94bfbd449d7c44280,1000279
07,Market Neutral Liquidity Provision,Market_Neutral_Liquidity_Provision.pdf,,,,,,a292288992d96aad8f7b7f1760bf52fb563a3292019b26edefe1c042596dd750,471887
08,Measuring Arbitrage Losses Profitability AMM,Measuring_Arbitrage_Losses_Profitability_AMM.pdf,,,,,,4ea20314e50e7284cd1da94eb00a7bb8de76f8cdc0e8b0199771fba3c2a28997,986335
09,Measuring Mending LP Net Profitability,Measuring_Mending_LP_Net_Profitability.pdf,,,,,,ff245143e9be8e92fcdc19090cdc2b42bf6a9a72178a12b5bc3d337e9704776e,1089840
10,Optimal Portfolios Of Liquidity Positions,Optimal_Portfolios_Of_Liquidity_Positions.pdf,,,,,,6bd894206bb691ab04336fbc8c3f662cb79721bea8121b9528b55a14e8230e4c,420809
11,Predictable Losses of Liquidity Provision,Predictable_Losses_of_Liquidity_Provision.pdf,,,,,,8c540d05f0a757a5419159fee9d95c3c113eaa2f166739c9ba04d78ed4a5df5e,2205298
12,Price Discovery and Efficiency in Uniswap Liquidity Pools,Price Discovery and Efficiency in Uniswap Liquidity Pools.pdf,,,,,,cee9a11e6f0c7414711f2c037316ddb5c160799983a34e36c34a691f1ad4bd39,2422618
13,Risks and Returns of Uniswap V3 Liquidity Providers,Risks and Returns of Uniswap V3 Liquidity Providers.pdf,,,,,,b714fb81a805e4b08c09522ab5e487ffb04100d28dc601a2805578d0042af095,3619225
14,Strategic Liquidity Provision in Uniswap v3,Strategic Liquidity Provision in Uniswap v3.pdf,,,,,,4579e21c4e2a20c1dbfa170a8028ba7acf0419be7c2066dd4d969bcfaf91ee47,1222014
15,Toward More Profitable Liquidity Provisioning Strategies,Toward More Profitable Liquidity Provisioning Strategies.pdf,,,,,,1bed9131abe2b618bdc9a5f2b53e51315dc9dbbfc74b9081c26f4ea9b31bbac4,1765372
16,UNISWAP- Impermanent Loss and Risk Profile of a Liquidity Provider,UNISWAP- Impermanent Loss and Risk Profile of a Liquidity Provider .pdf,,,,,,df08a93eb981ee8200f07e1c3a43b0cb9170e7dbe52e7f8100b8cd0ba521bde8,1195687
17,What Drives Liquidity on Decentralized Exchanges? Evidence from the Uniswap Protocol,What Drives Liquidity on Decentralized Exchanges? Evidence from the Uniswap Protocol .pdf,,,,,,c8771c6b7882aa5a4972a6518293caea6cbea24b47dbed000ee6e8f697a796f7,657663
18,When Uniswap v3 returns more fees for passive LPs,When Uniswap v3 returns more fees for passive LPs .pdf,,,,,,f2ec54e3a7c966b097c1076529463924f687c3f766bd205bb96e8809eca9e533,1578126
